JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise	DateRglt	ModeRglt	NatOp	IdClient	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  10130000	CAPITAL                       	       	       	1	20190101	A-Nouveau CAPITAL 	          0,00	      2000,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  10611000	RESERVE LEGALE                	       	       	1	20190101	A-Nouveau RESERVE LEGALE 	          0,00	        200,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  10680000	AUTRES RESERVES               	       	       	1	20190101	A-Nouveau AUTRES RESERVES 	          0,00	        419,12	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  11900000	REPORT A NOUVEAU DEB          	       	       	1	20190101	A-Nouveau REPORT A NOUVEAU DEB 	        419,39	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  21820000	MATERIEL DE TRANSPOR          	       	       	1	20190101	A-Nouveau MATERIEL DE TRANSPOR 	      2899,00	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  21830000	MAT BUREAUX INFORMAT          	       	       	1	20190101	A-Nouveau MAT BUREAUX INFORMAT 	      3203,31	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  28182000	AMORT MAT TRANSPORT           	       	       	1	20190101	A-Nouveau AMORT MAT TRANSPORT 	          0,00	        341,53	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  28183000	AMORT MAT BUR INFORM          	       	       	1	20190101	A-Nouveau AMORT MAT BUR INFORM 	          0,00	      1165,29	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40101215	SOUS-TRAITANCE                	       	       	1	20190101	A-Nouveau SOUS-TRAITANCE 	          0,00	      3000,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40101215	SOUS-TRAITANCE                	       	       	1	20190101	A-Nouveau TRANSFERWISE SOUS-TRAITANCE 	      2400,00	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40101215	SOUS-TRAITANCE                	       	       	1	20190101	A-Nouveau TRANSFERWISE SOUS-TRAITANCE 	          0,00	      2400,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40102346	AMENDES                       	       	       	1	20190101	A-Nouveau AMENDE PVE WEB AMENDES 	         35,00	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40102346	AMENDES                       	       	       	1	20190101	A-Nouveau AMENDE PVE WEB AMENDES 	          0,00	         35,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40102346	AMENDES                       	       	       	1	20190101	A-Nouveau SERVICES DES IMPOTS DES ENTREP 	          0,00	        329,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40102346	AMENDES                       	       	       	1	20190101	A-Nouveau SERVICES DES IMPOTS DES ENTREP 	          0,00	        255,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40102346	AMENDES                       	       	       	1	20190101	A-Nouveau SERVICES DES IMPOTS DES ENTREP 	        255,00	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40102346	AMENDES                       	       	       	1	20190101	A-Nouveau SERVICES DES IMPOTS DES ENTREP 	        329,00	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40105866	VISTA PRINT                   	       	       	1	20190101	A-Nouveau VISTAPRINT VISTA PRINT 	          0,00	         51,23	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40105866	VISTA PRINT                   	       	       	1	20190101	A-Nouveau VISTAPRINT VISTA PRINT 	         51,23	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40105866	VISTA PRINT                   	       	       	1	20190101	A-Nouveau VISTAPRVISTAPRINT EU VISTA PRI 	          0,00	         34,55	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40105866	VISTA PRINT                   	       	       	1	20190101	A-Nouveau VISTAPRVISTAPRINT EU VISTA PRI 	         17,22	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40105866	VISTA PRINT                   	       	       	1	20190101	A-Nouveau VISTAPRVISTAPRINT EU VISTA PRI 	          0,00	         17,22	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40105866	VISTA PRINT                   	       	       	1	20190101	A-Nouveau VISTAPRVISTAPRINT EU VISTA PRI 	         34,55	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40107658	TÉLÉCOM                       	       	       	1	20190101	A-Nouveau GOOGLE IRELAND LIMITED APPS CO 	         26,00	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40107658	TÉLÉCOM                       	       	       	1	20190101	A-Nouveau GOOGLE IRELAND LIMITED APPS CO 	          0,00	         26,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40109097	OFFICE DEPOT                  	       	       	1	20190101	A-Nouveau OFFICE DEPOT OFFICE DEPOT 	         32,28	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40109097	OFFICE DEPOT                  	       	       	1	20190101	A-Nouveau OFFICE DEPOT OFFICE DEPOT 	          0,00	         32,28	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40116495	PRESTATION CONSEIL            	       	       	1	20190101	A-Nouveau AM GESTION PRESTATION CONSEIL 	         69,12	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40116495	PRESTATION CONSEIL            	       	       	1	20190101	A-Nouveau AM GESTION PRESTATION CONSEIL 	          0,00	         69,12	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40116495	PRESTATION CONSEIL            	       	       	1	20190101	A-Nouveau CLEVERSIDE PRESTATION INFORMAT 	      3840,00	          0,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40116495	PRESTATION CONSEIL            	       	       	1	20190101	A-Nouveau CLEVERSIDE PRESTATION INFORMAT 	          0,00	      3840,00	   			              	EUR	      	       	       	       	
AN	A-NOUVEAUX 	                               AN0000001	20190101	  40116495	PRESTATION CONSEIL            	       	       	1	20190101	A-Nouveau MGPCAPTAINCONT PRESTATION CONS 	      2400,00	          0,00	   			              	EUR	      	       	       	       	
